severity,status,component,line,rule,message,effort,creationDate,updateDate,key
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:integrations/webhook_adapter.py,211,python:S3776,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,11min,2026-05-18T14:09:22+0000,2026-05-18T14:09:22+0000,AZ47df1W3zvopZWNpsJX
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:integrations/webhook_adapter.py,326,python:S3776,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,8min,2026-05-18T14:09:22+0000,2026-05-18T14:09:22+0000,AZ47df1W3zvopZWNpsJY
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:integrations/email_adapter.py,205,python:S3776,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,7min,2026-05-18T14:00:54+0000,2026-05-18T14:00:54+0000,AZ47ZfISnydhvRWjk2E9
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:integrations/email_adapter.py,355,python:S3358,Extract this nested conditional expression into an independent statement.,5min,2026-05-18T14:00:54+0000,2026-05-18T14:00:54+0000,AZ47ZfISnydhvRWjk2E-
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:engines/playbook_step_executor.py,949,python:S3776,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,2026-05-18T13:49:54+0000,2026-05-18T13:49:54+0000,AZ47W-RTZ1ku_HpUyzZe
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,818,javascript:S6774,'item.retryable' is missing in props validation,5min,2026-05-18T13:30:56+0000,2026-05-18T13:30:56+0000,AZ47TzPwKS0c8uHWPeIw
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/DeadLettersPanel.js,823,javascript:S6774,'item.retryable' is missing in props validation,5min,2026-05-18T13:30:56+0000,2026-05-18T13:30:56+0000,AZ47TzPwKS0c8uHWPeIx
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/services/metricsService.test.js,265,javascript:S7764,Prefer `globalThis` over `global`.,2min,2026-05-17T18:07:55+0000,2026-05-17T18:07:55+0000,AZ43KZWJmJyaFL6eZEy7
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/services/metricsService.test.js,273,javascript:S7764,Prefer `globalThis` over `global`.,2min,2026-05-17T18:07:55+0000,2026-05-17T18:07:55+0000,AZ43KZWJmJyaFL6eZEy8
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/services/metricsService.test.js,274,javascript:S7764,Prefer `globalThis` over `global`.,2min,2026-05-17T18:07:55+0000,2026-05-17T18:07:55+0000,AZ43KZWJmJyaFL6eZEy9
