severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1083,javascript:S6774,'attempt.completed_at' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyw
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1084,javascript:S6774,'attempt.created_at' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyx
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1085,javascript:S6774,'attempt.failure_code' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyy
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1086,javascript:S6774,'attempt.failure_code' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmyz
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1088,javascript:S6774,'attempt.failure_message' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmy0
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ApprovalsPanel.js,1091,javascript:S6774,'attempt.failure_message' is missing in props validation,5min,2026-05-15T13:19:13+0000,2026-05-15T13:19:13+0000,AZ4rzzWVjdYAgfFjtmy1
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1145,javascript:S6774,'attempt' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPms
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1146,javascript:S6774,'attempt.metadata' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPmt
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1151,javascript:S6774,'attempt.id' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPmu
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/IncidentsPanel.js,1154,javascript:S6774,'attempt.provider' is missing in props validation,5min,2026-05-15T13:13:02+0000,2026-05-15T13:13:02+0000,AZ4ryTNgGPGjB1w4cPmv
